This test runs for the better part of an hour.
But it does provide statistically defensible values.
./run-proc-vs-map.sh --nsamples 24
Running ./run-proc-vs-map.sh --nsamples 24

          Average mmap()/munmap()
           latency (milliseconds)
         --------------------------
#Busy    Median   Minimum   Maximum #Hangs
    0     0.005     0.004     0.796       
    1     0.059     0.005    13.405       
    2     0.061     0.005    12.591       
    3     0.060     0.058    24.917       
    4     0.060     0.007    18.963       
    5     0.076     0.006    18.944       
    6     0.270     0.058    41.876       
    7     0.470     0.005    30.742       
    8     0.502     0.063    32.991       

